2016-11-02 16:05:46 DEBUG  [org.apache.http.headers] [Forwarding newSession on session null to remote] 116: http-outgoing-0 << Content-Type:application/json; charset=utf-8
2016-11-02 16:05:46 DEBUG  [org.apache.http.headers] [Forwarding newSession on session null to remote] 116: http-outgoing-0 << Connection:close
2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.conn.DefaultManagedHttpClientConnection] [Forwarding newSession on session null to remote] 87: http-outgoing-0: Shutdown connection
2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding newSession on session null to remote] 126: Connection discarded
2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.conn.DefaultManagedHttpClientConnection] [Forwarding newSession on session null to remote] 79: http-outgoing-0: Close connection
2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.conn.PoolingHttpClientConnectionManager] [Forwarding newSession on session null to remote] 287: Connection released: [id: 0][route: {}->http://localhost:28799][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-11-02 16:05:46 DEBUG  [base.SetUpProAndBrowser] [main] 34: ChromeDriver has been started!
2016-11-02 16:05:46 DEBUG  [org.apache.http.client.protocol.RequestAddCookies] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 122: CookieSpec selected: best-match
2016-11-02 16:05:46 DEBUG  [org.apache.http.client.protocol.RequestAuthCache] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 75: Auth cache not set in the context
2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.conn.PoolingHttpClientConnectionManager] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 219: Connection request: [route: {}->http://localhost:28799][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.conn.PoolingHttpClientConnectionManager] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 250: Connection leased: [id: 1][route: {}->http://localhost:28799][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 217: Opening connection {}->http://localhost:28799
2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.conn.HttpClientConnectionOperator] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 122: Connecting to localhost/127.0.0.1:28799
2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.conn.HttpClientConnectionOperator] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 129: Connection established 127.0.0.1:6425<->127.0.0.1:28799
2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 238: Executing request POST /session/e5068542330421e2145c94287a5b4b40/timeouts/implicit_wait HTTP/1.1
2016-11-02 16:05:46 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 243: Target auth state: UNCHALLENGED
